data source,lat,lon,Name,SARPID,Source,Snapped,NHDPlusID,StreamSizeClass,LocalID,CrossingCode,NearestCrossingID,Stream,AnnualVelocity,AnnualFlow,TotDASqKm,Road,RoadType,CrossingType,Constriction,PotentialProject,BarrierSeverity,SARP_Score,Recon,Removed,YearRemoved,Condition,PassageFacility,TESpp,StateSGCNSpp,RegionalSGCNSpp,Trout,OwnerType,BarrierOwnerType,ProtectedLand,Link,EJTract,EJTribal,Basin,Subbasin,Subwatershed,HUC2,HUC6,HUC8,HUC10,HUC12,State,County,Excluded,Invasive,OnLoop,HasNetwork,Ranked,Intermittent,StreamOrder,Landcover,SizeClasses,TotalUpstreamMiles,PerennialUpstreamMiles,IntermittentUpstreamMiles,AlteredUpstreamMiles,UnalteredUpstreamMiles,PerennialUnalteredUpstreamMiles,TotalDownstreamMiles,FreeDownstreamMiles,FreePerennialDownstreamMiles,FreeIntermittentDownstreamMiles,FreeAlteredDownstreamMiles,FreeUnalteredDownstreamMiles,GainMiles,PerennialGainMiles,TotalNetworkMiles,TotalPerennialNetworkMiles,PercentUnaltered,PercentPerennialUnaltered,UpstreamDrainageArea,UpstreamWaterfalls,UpstreamDams,UpstreamSmallBarriers,UpstreamRoadCrossings,UpstreamHeadwaters,TotalUpstreamRoadCrossings,TotalDownstreamWaterfalls,TotalDownstreamDams,TotalDownstreamSmallBarriers,MilesToOutlet,FlowsToOcean,FlowsToGreatLakes,ExitsRegion
https://aquaticbarriers.org/download/,60.801796,-148.92233,,sm648529,USFS National Activity Database 2023,TRUE,7.50044E+13,1a,100440_Explorer Spillway,,,,0.499274,0.001014,1.0573,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2010,Unknown,Unknown or none,0,0,0,not recorded,USDA Forest Service land,Unknown / private,yes,,no,no,Kenai Peninsula,Upper Kenai Peninsula,Skookum Creek-Placer River,19,190203,19020302,1902030203,1.90203E+11,Alaska,Anchorage,no,no,no,yes,no,no,1,0,0,0.062,0.062,0,0,0.062,0.062,46.245,45.179,45.179,0,0,45.179,0.062,0.062,45.241,45.241,100,100,1.0573,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.480999,yes,no,yes
https://aquaticbarriers.org/download/,60.53079,-149.55722,Road barrier - Daves Creek,sm648642,USFS National Activity Database 2023,TRUE,7.50044E+13,1b,100430_Daves Creek_Culvert,,,Daves Creek,0.838863,0.297732,26.662825,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2009,Unknown,Unknown or none,0,0,0,not recorded,USDA Forest Service land,Unknown / private,yes,,no,no,Kenai Peninsula,Upper Kenai Peninsula,Outlet Quartz Creek,19,190203,19020302,1902030211,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,3,0,1,10.189,5.675,4.514,0,10.189,5.675,2240.828,1993.402,1970.523,22.879,3.052,1990.35,10.189,5.675,2003.591,1976.199,100,100,84.64195,-1,-1,-1,-1,-1,-1,-1,-1,-1,91.200386,yes,no,yes
https://aquaticbarriers.org/download/,60.43861,-149.71065,,sm650066,USFS National Activity Database 2023,TRUE,7.50044E+13,1a,100430 Snug Harbor Culvert Replace,,cr7995706,,0.85714257,0.035887,7.050275,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2019,Unknown,Unknown or none,0,0,0,not recorded,State land,Unknown / private,no,,no,no,Kenai Peninsula,Upper Kenai Peninsula,Kenai Lake,19,190203,19020302,1902030212,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,0,3.346,3.346,0,0,3.346,3.346,2251.577,2002.194,1974.801,27.393,3.052,1999.141,3.346,3.346,2005.54,1978.147,100,100,7.050275,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.39843,yes,no,yes
https://aquaticbarriers.org/download/,60.066704,-151.34229,,sm650364,USFWS FIS 2023 Export,TRUE,7.50043E+13,1a,23307062,,cr7994411,,0.6329242,0.003392,1.740325,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2019,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,Trophy Lake,19,190203,19020301,1902030105,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,1,0,0,1.105,1.105,0,0,1.105,1.105,302.879,302.226,302.226,0,0,302.226,1.105,1.105,303.331,303.331,100,100,1.740325,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.776108,yes,no,yes
https://aquaticbarriers.org/download/,60.312283,-151.24239,,sm650426,USFWS FIS 2023 Export,TRUE,7.50043E+13,1a,23307062,,cr7999677,,0.6173474,0.021911,7.72495,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2021,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,Star Lake-Kasilof River,19,190203,19020301,1902030104,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,0,3.761,3.761,0,0,3.761,3.761,647.515,508.58,505.852,2.727,0,508.58,3.761,3.761,512.34,509.613,100,100,8.6732,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.633483,yes,no,yes
https://aquaticbarriers.org/download/,60.027645,-151.5732,,sm650427,USFWS FIS 2023 Export,TRUE,7.50043E+13,1a,23307062,,cr8000339,,0.7101394,0.01528,4.66925,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2021,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,Outlet Ninilchik River,19,190203,19020301,1902030105,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,0,1.791,1.791,0,0,1.791,1.791,303.984,303.331,303.331,0,0,303.331,1.791,1.791,305.122,305.122,100,100,4.782875,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.0683484,yes,no,yes
https://aquaticbarriers.org/download/,59.800365,-151.63661,Road barrier - North Fork Anchor River,sm650444,USFWS FIS 2023 Export,TRUE,7.50043E+13,1b,21502423,,cr7994031,North Fork Anchor River,0.9255323,0.358251,41.734375,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,North Fork Anchor River,19,190203,19020301,1902030107,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,4,0,1,37.533,37.533,0,0,37.533,37.533,522.229,522.166,522.166,0,0,522.166,37.533,37.533,559.699,559.699,100,100,48.074226,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.239854,yes,no,yes
https://aquaticbarriers.org/download/,60.52626,-150.96278,,sm650450,USFWS FIS 2023 Export,TRUE,7.50044E+13,1b,23307062,,,,0.6303935,0.063414,11.0089,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Soldotna Creek,19,190203,19020302,1902030218,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,1,4.118,4.118,0,0,4.118,4.118,2254.923,2005.54,1978.147,27.393,3.052,2002.487,4.118,4.118,2009.658,1982.266,100,100,12.185375,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.769901,yes,no,yes
https://aquaticbarriers.org/download/,60.009285,-151.56752,,sm650451,USFWS FIS 2023 Export,TRUE,7.50043E+13,1a,23307062,,cr8001703,,0.53820074,0.000392,0.59175,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,1.90203E+11,19,190203,19020301,1902030106,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,1,0,0,0.275,0.275,0,0,0.275,0.275,507.609,505.791,505.791,0,0,505.791,0.275,0.275,506.067,506.067,100,100,0.59175,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.529156,yes,no,yes
https://aquaticbarriers.org/download/,60.85879,-150.85695,,sm650453,USFWS FIS 2023 Export,TRUE,7.50044E+13,1a,23307062,,,,0.53492343,0.013938,3.528025,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,State land,Unknown / private,no,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Suneva Lake-Frontal Cook Inlet,19,190203,19020302,1902030219,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,1,0,0,0.562,0.562,0,0,0.562,0.562,2.315,2.315,2.315,0,0,2.315,0.562,0.562,2.877,2.877,100,100,14.1121,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0852823,yes,no,yes
https://aquaticbarriers.org/download/,60.7031,-150.83931,,sm650454,USFWS FIS 2023 Export,TRUE,7.50044E+13,1a,23307062,,,,0.66472137,0.016895,6.0391,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,US Fish and Wildlife Service land,Unknown / private,yes,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Middle Swanson River,19,190203,19020302,1902030208,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,0,2.802,2.802,0,0,2.802,2.802,186.661,147.854,147.854,0,0,147.854,2.802,2.802,150.656,150.656,100,100,6.0391,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.243158,yes,no,yes
https://aquaticbarriers.org/download/,60.704178,-150.82549,,sm650486,USFWS FIS 2023 Export,TRUE,7.50044E+13,1a,23307062,,,,0.70502514,0.031665,5.854575,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2023,Unknown,Unknown or none,0,0,0,not recorded,US Fish and Wildlife Service land,Unknown / private,yes,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Middle Swanson River,19,190203,19020302,1902030208,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,1,0,0,0.383,0.383,0,0,0.383,0.383,189.463,150.117,150.117,0,0,150.117,0.383,0.383,150.5,150.5,100,100,5.8545747,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.74924,yes,no,yes
https://aquaticbarriers.org/download/,60.071068,-151.33788,,sm650487,USFWS FIS 2023 Export,TRUE,7.50043E+13,1b,23307062,,cr7994410,,0.8115679,0.066801,12.775275,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2023,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,Trophy Lake,19,190203,19020301,1902030105,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,2,0,1,12.385,12.385,0,0,12.385,12.385,305.775,304.969,304.969,0,0,304.969,12.385,12.385,317.354,317.354,100,100,26.3707,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.863121,yes,no,yes
https://aquaticbarriers.org/download/,60.744884,-151.13707,,sm650488,USFWS FIS 2023 Export,TRUE,7.50044E+13,1a,23307062,,,,0.5111543,0.008668,3.08865,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2023,Unknown,Unknown or none,0,0,0,not recorded,State land,Unknown / private,no,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Bishop Creek,19,190203,19020302,1902030219,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,yes,no,no,1,0,0,0.692,0.692,0,0,0.692,0.692,46.953,36.675,36.675,0,0,36.675,0.692,0.692,37.367,37.367,100,100,3.0886497,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.00955,yes,no,yes
https://aquaticbarriers.org/download/,60.80023,-148.92447,,sm649220,USFS National Activity Database 2023,FALSE,-1,,Explorer Culvert Removal,,,,-1,-1,-1,,Unknown,Unknown,Unknown,Proposed Project,Barrier - unknown severity,-1,Not yet evaluated,no,0,Unknown,Unknown or none,0,0,0,not recorded,USDA Forest Service land,Unknown / private,yes,,no,no,Kenai Peninsula,Upper Kenai Peninsula,Skookum Creek-Placer River,19,190203,19020302,1902030203,1.90203E+11,Alaska,Anchorage,no,no,no,no,no,off network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,off network,off network,off network
https://aquaticbarriers.org/download/,60.0205,-151.41055,,sm650363,USFWS FIS 2023 Export,FALSE,-1,,23307062,,,,-1,-1,-1,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2019,Unknown,Unknown or none,0,0,0,not recorded,,Unknown / private,no,,no,yes,Kenai Peninsula,Lower Kenai Peninsula,1.90203E+11,19,190203,19020301,1902030106,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,no,no,off network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,off network,off network,off network
https://aquaticbarriers.org/download/,60.811348,-150.98936,,sm650452,USFWS FIS 2023 Export,FALSE,-1,,23307062,,,,-1,-1,-1,,Unknown,Unknown,Unknown,Completed Project,Unknown,-1,Not yet evaluated,yes,2022,Unknown,Unknown or none,0,0,0,not recorded,State land,Unknown / private,no,,no,yes,Kenai Peninsula,Upper Kenai Peninsula,Suneva Lake-Frontal Cook Inlet,19,190203,19020302,1902030219,1.90203E+11,Alaska,Kenai Peninsula,no,no,no,no,no,off network,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,off network,off network,off network
